[27/Feb/2026 15:52:11] {'temperature': 22.75, 'altitude': -16.35, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40491, 'acceleration': {'z': 1.07, 'y': -0.09, 'x': -0.195}}
[27/Feb/2026 15:52:12] {'temperature': 22.89, 'altitude': -14.81, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40491, 'acceleration': {'z': 1.088, 'y': -0.288, 'x': -0.454}}
[27/Feb/2026 15:52:13] {'temperature': 22.95, 'altitude': -14.01, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.4049, 'acceleration': {'z': 1.099, 'y': -0.003, 'x': -0.06400001}}
[27/Feb/2026 15:53:09] {'temperature': 24.44, 'altitude': 1.01, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.067, 'y': -0.035, 'x': -0.22}}
[27/Feb/2026 15:53:10] {'temperature': 24.44, 'altitude': 2.43, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.066, 'y': -0.037, 'x': -0.224}}
[27/Feb/2026 15:53:11] {'temperature': 24.49, 'altitude': 1.85, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40466, 'acceleration': {'z': 1.055, 'y': -0.036, 'x': -0.228}}
[27/Feb/2026 15:53:12] {'temperature': 24.47, 'altitude': 2.16, 'voltage': 7.4, 'latitude': 38.83583, 'longitude': -77.40466, 'acceleration': {'z': 1.053, 'y': -0.039, 'x': -0.22}}
[27/Feb/2026 15:53:13] {'temperature': 24.54, 'altitude': 1.96, 'voltage': 7.4, 'latitude': 38.83583, 'longitude': -77.40466, 'acceleration': {'z': 1.056, 'y': -0.03, 'x': -0.203}}
[27/Feb/2026 15:53:14] {'temperature': 24.63, 'altitude': 1.58, 'voltage': 7.4, 'latitude': 38.83585, 'longitude': -77.40466, 'acceleration': {'z': 1.061, 'y': -0.03, 'x': -0.219}}
[27/Feb/2026 15:53:15] {'temperature': 24.67, 'altitude': 1.89, 'voltage': 7.4, 'latitude': 38.83585, 'longitude': -77.40466, 'acceleration': {'z': 1.057, 'y': -0.033, 'x': -0.219}}
[27/Feb/2026 15:53:16] {'temperature': 24.73, 'altitude': 2.32, 'voltage': 7.4, 'latitude': 38.83586, 'longitude': -77.40466, 'acceleration': {'z': 1.058, 'y': -0.03, 'x': -0.221}}
