[27/Dec/2025 19:36:47] {'temperature': 26.74, 'altitude': 0.9599999, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40486, 'acceleration': {'z': 1.085, 'y': -0.026, 'x': 0.047}}
[27/Dec/2025 19:36:48] {'temperature': 26.77, 'altitude': 0.79, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40486, 'acceleration': {'z': 1.102, 'y': -0.02, 'x': 0.056}}
[27/Dec/2025 19:36:50] {'temperature': 26.79, 'altitude': 1.4, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40486, 'acceleration': {'z': 1.098, 'y': -0.019, 'x': 0.056}}
[27/Dec/2025 19:36:53] {'temperature': 26.84, 'altitude': 1.52, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40486, 'acceleration': {'z': 1.094, 'y': -0.018, 'x': 0.054}}
[27/Dec/2025 19:36:54] {'temperature': 26.87, 'altitude': 1.2, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40486, 'acceleration': {'z': 1.09, 'y': -0.022, 'x': 0.055}}
[27/Dec/2025 19:36:56] {'temperature': 26.9, 'altitude': 1.77, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.098, 'y': -0.024, 'x': 0.057}}
[27/Dec/2025 19:36:58] {'temperature': 26.92, 'altitude': 1.25, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.089, 'y': -0.025, 'x': 0.05900001}}
[27/Dec/2025 19:36:59] {'temperature': 26.94, 'altitude': 2.04, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.094, 'y': -0.022, 'x': 0.058}}
[27/Dec/2025 19:37:01] {'temperature': 26.96, 'altitude': 2.85, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.096, 'y': -0.025, 'x': 0.055}}
[27/Dec/2025 19:37:02] {'temperature': 26.99, 'altitude': 2.55, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.09, 'y': -0.023, 'x': 0.055}}
[27/Dec/2025 19:37:04] {'temperature': 27.01, 'altitude': 2.4, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.093, 'y': -0.021, 'x': 0.05900001}}
[27/Dec/2025 19:37:07] {'temperature': 27.06, 'altitude': 2.33, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.089, 'y': -0.019, 'x': 0.06}}
[27/Dec/2025 19:37:09] {'temperature': 27.08, 'altitude': 2.18, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40485, 'acceleration': {'z': 1.091, 'y': -0.02, 'x': 0.053}}
