[18/Jan/2026 15:38:40] {'temperature': 22.37, 'altitude': -0.72, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.1, 'y': 0.009, 'x': 0.056}}
[18/Jan/2026 15:38:42] {'temperature': 22.42, 'altitude': -0.26, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.003, 'x': 0.049}}
[18/Jan/2026 15:38:43] {'temperature': 22.46, 'altitude': 0.19, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.102, 'y': 0.009, 'x': 0.052}}
[18/Jan/2026 15:38:45] {'temperature': 22.52, 'altitude': -0.46, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.1, 'y': 0.006, 'x': 0.054}}
[18/Jan/2026 15:38:47] {'temperature': 22.57, 'altitude': -0.46, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': 0.001, 'x': 0.05}}
[18/Jan/2026 15:38:49] {'temperature': 22.63, 'altitude': -0.25, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.006, 'x': 0.054}}
[18/Jan/2026 15:38:51] {'temperature': 22.7, 'altitude': -1.02, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.007, 'x': 0.056}}
[18/Jan/2026 15:38:53] {'temperature': 22.78, 'altitude': -0.66, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.1, 'y': 0.006, 'x': 0.049}}
[18/Jan/2026 15:38:56] {'temperature': 22.95, 'altitude': -0.94, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.109, 'y': 0.012, 'x': 0.055}}
[18/Jan/2026 15:38:58] {'temperature': 23.03, 'altitude': -1.38, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.016, 'x': 0.047}}
