[02/Jan/2026 18:00:05] {'temperature': 29.49, 'altitude': 2.93, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40485, 'acceleration': {'z': 1.068, 'y': -0.02, 'x': 0.019}}
[02/Jan/2026 18:00:09] {'temperature': 29.43, 'altitude': 3.44, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40485, 'acceleration': {'z': 1.089, 'y': 0.019, 'x': 0.049}}
[02/Jan/2026 18:00:13] {'temperature': 29.38, 'altitude': 2.53, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40486, 'acceleration': {'z': 1.091, 'y': -0.001, 'x': 0.052}}
[02/Jan/2026 18:00:19] {'temperature': 29.43, 'altitude': 2.89, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40487, 'acceleration': {'z': 1.094, 'y': 0.007, 'x': 0.039}}
[02/Jan/2026 18:00:21] {'temperature': 29.43, 'altitude': 2.71, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.086, 'y': 0, 'x': 0.04}}
[02/Jan/2026 18:00:23] {'temperature': 29.43, 'altitude': 2.72, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.071, 'y': -0.003, 'x': 0.039}}
[02/Jan/2026 18:00:25] {'temperature': 29.45, 'altitude': 2.59, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.084, 'y': -0.001, 'x': 0.042}}
[02/Jan/2026 18:00:27] {'temperature': 29.44, 'altitude': 3.04, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.087, 'y': 0.014, 'x': 0.044}}
[02/Jan/2026 18:00:29] {'temperature': 29.43, 'altitude': 3.27, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.4049, 'acceleration': {'z': 1.096, 'y': 0.013, 'x': 0.041}}
[02/Jan/2026 18:00:31] {'temperature': 29.44, 'altitude': 2.64, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40491, 'acceleration': {'z': 1.088, 'y': 0.004, 'x': 0.044}}
[02/Jan/2026 18:00:33] {'temperature': 29.4, 'altitude': 2.95, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40491, 'acceleration': {'z': 1.084, 'y': 0, 'x': 0.042}}
[02/Jan/2026 18:00:35] {'temperature': 29.38, 'altitude': 3.1, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40491, 'acceleration': {'z': 1.095, 'y': 0.009, 'x': 0.043}}
[02/Jan/2026 18:00:37] {'temperature': 29.37, 'altitude': 2.93, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40492, 'acceleration': {'z': 1.087, 'y': 0.005, 'x': 0.041}}
[02/Jan/2026 18:00:39] {'temperature': 29.36, 'altitude': 2.65, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40492, 'acceleration': {'z': 1.094, 'y': 0.007, 'x': 0.042}}
[02/Jan/2026 18:00:41] {'temperature': 29.38, 'altitude': 2.91, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40492, 'acceleration': {'z': 1.09, 'y': 0, 'x': 0.047}}
[02/Jan/2026 18:00:43] {'temperature': 29.38, 'altitude': 2.75, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40494, 'acceleration': {'z': 1.095, 'y': 0.009, 'x': 0.043}}
[02/Jan/2026 18:00:45] {'temperature': 29.39, 'altitude': 3.25, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40494, 'acceleration': {'z': 1.093, 'y': 0.006, 'x': 0.037}}
[02/Jan/2026 18:00:47] {'temperature': 29.39, 'altitude': 3.05, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.094, 'y': 0.01, 'x': 0.042}}
[02/Jan/2026 18:00:49] {'temperature': 29.42, 'altitude': 3.11, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.1, 'y': 0.013, 'x': 0.05}}
[02/Jan/2026 18:00:51] {'temperature': 29.4, 'altitude': 3, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.088, 'y': 0.005, 'x': 0.043}}
[02/Jan/2026 18:00:53] {'temperature': 29.39, 'altitude': 2.67, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.136, 'y': -0.023, 'x': 0.054}}
