[23/Nov/2024 12:11:10] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.1, 'pressure': 99612.5, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': -0.1, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:11] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.1, 'pressure': 99612.6, 'x_rotation': -0.4, 'y_rotation': 1, 'z_rotation': -0.1, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:11] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.1, 'pressure': 99613, 'x_rotation': 0.1, 'y_rotation': 1.1, 'z_rotation': 0.4, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:12] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0, 'pressure': 99613.5, 'x_rotation': -0.4, 'y_rotation': 1, 'z_rotation': 0.1, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:13] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0, 'pressure': 99613.5, 'x_rotation': -0.1, 'y_rotation': 1.1, 'z_rotation': 0.3, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:13] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0, 'pressure': 99614, 'x_rotation': -0.2, 'y_rotation': 1, 'z_rotation': 0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:14] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0, 'pressure': 99614.2, 'x_rotation': -0.1, 'y_rotation': 1.1, 'z_rotation': 0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:15] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.9, 'x_rotation': -0.2, 'y_rotation': 1, 'z_rotation': 0.1, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:15] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.1, 'pressure': 99612.6, 'x_rotation': 0.1, 'y_rotation': 1, 'z_rotation': 0.3, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:16] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.1, 'pressure': 99613.8, 'x_rotation': -0.1, 'y_rotation': 1, 'z_rotation': 0.3, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:17] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.7, 'x_rotation': 0.1, 'y_rotation': 1.1, 'z_rotation': 0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:17] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.3, 'pressure': 99610.9, 'x_rotation': -0.1, 'y_rotation': 1.1, 'z_rotation': 0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:18] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99611.6, 'x_rotation': 0.1, 'y_rotation': 1, 'z_rotation': 0.1, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:19] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.4, 'pressure': 99609.5, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:20] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.3, 'pressure': 99610, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.1, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:20] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.3, 'pressure': 99610.9, 'x_rotation': -0.1, 'y_rotation': 1, 'z_rotation': 0, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:21] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 99610.7, 'x_rotation': -0.1, 'y_rotation': 1, 'z_rotation': 0, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
