[03/Mar/2026 19:33:08] {'temperature': 22.59, 'altitude': -0.34, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': -0.002, 'x': 0.154}}
[03/Mar/2026 19:33:10] {'temperature': 22.63, 'altitude': -0.01, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.001, 'x': 0.155}}
[03/Mar/2026 19:33:11] {'temperature': 22.65, 'altitude': -0.72, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': 0.003, 'x': 0.15}}
[03/Mar/2026 19:33:12] {'temperature': 22.67, 'altitude': -0.46, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0, 'x': 0.156}}
[03/Mar/2026 19:33:23] {'temperature': 22.91, 'altitude': 0.26, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.048, 'y': -0.048, 'x': 0.223}}
[03/Mar/2026 19:33:24] {'temperature': 22.94, 'altitude': -0.11, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.186, 'y': 0.041, 'x': -0.012}}
[03/Mar/2026 19:33:25] {'temperature': 22.95, 'altitude': -0.14, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': -0.02, 'x': 0.171}}
[03/Mar/2026 19:33:26] {'temperature': 22.97, 'altitude': 0.04, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.068, 'y': -0.017, 'x': 0.114}}
[03/Mar/2026 19:33:27] {'temperature': 23.01, 'altitude': -0.19, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': -0.011, 'x': 0.147}}
[03/Mar/2026 19:33:28] {'temperature': 23.04, 'altitude': 0, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.002, 'x': 0.143}}
[03/Mar/2026 19:33:29] {'temperature': 23.07, 'altitude': -0.01, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.198, 'y': -0.019, 'x': 0.158}}
[03/Mar/2026 19:33:31] {'temperature': 23.11, 'altitude': -0.23, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1, 'y': 0.072, 'x': 0.213}}
[03/Mar/2026 19:33:34] {'temperature': 23.21, 'altitude': 0.06, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.06, 'y': 0.181, 'x': 0.065}}
[03/Mar/2026 19:33:35] {'temperature': 23.23, 'altitude': -0.43, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.051, 'y': 0.157, 'x': 0.168}}
[03/Mar/2026 19:33:36] {'temperature': 23.26, 'altitude': -0.25, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.067, 'y': -0.011, 'x': 0.113}}
[03/Mar/2026 19:33:37] {'temperature': 23.27, 'altitude': -0.68, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': -0.008000001, 'x': 0.151}}
[03/Mar/2026 19:33:38] {'temperature': 23.29, 'altitude': -0.46, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': -0.013, 'x': 0.15}}
[03/Mar/2026 19:33:39] {'temperature': 23.31, 'altitude': -0.2, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': -0.012, 'x': 0.156}}
[03/Mar/2026 19:33:40] {'temperature': 23.33, 'altitude': -0.35, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.07, 'y': -0.043, 'x': 0.167}}
[03/Mar/2026 19:33:41] {'temperature': 23.35, 'altitude': -0.85, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': -0.011, 'x': 0.153}}
[03/Mar/2026 19:33:42] {'temperature': 23.36, 'altitude': -0.54, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': 0.028, 'x': 0.06599999}}
[03/Mar/2026 19:33:43] {'temperature': 23.39, 'altitude': -0.37, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.164, 'y': -0.065, 'x': 0.075}}
[03/Mar/2026 19:33:44] {'temperature': 23.39, 'altitude': -0.18, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': -0.012, 'x': 0.147}}
[03/Mar/2026 19:33:45] {'temperature': 23.4, 'altitude': 0, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': -0.016, 'x': 0.146}}
