[21/Dec/2025 11:32:16] {'temperature': 27.84, 'altitude': 1.05, 'voltage': 0, 'latitude': 38.83585, 'longitude': -77.40508, 'acceleration': {'z': 1.093, 'y': 0.014, 'x': 0.045}}
[21/Dec/2025 11:32:18] {'temperature': 27.89, 'altitude': 0.57, 'voltage': 0, 'latitude': 38.83585, 'longitude': -77.40508, 'acceleration': {'z': 1.093, 'y': 0.019, 'x': 0.047}}
[21/Dec/2025 11:32:21] {'temperature': 27.96, 'altitude': 1.29, 'voltage': 0, 'latitude': 38.83585, 'longitude': -77.40508, 'acceleration': {'z': 1.085, 'y': 0.012, 'x': 0.047}}
[21/Dec/2025 11:32:23] {'temperature': 28.05, 'altitude': 0.43, 'voltage': 0, 'latitude': 38.83585, 'longitude': -77.40508, 'acceleration': {'z': 1.087, 'y': 0.014, 'x': 0.049}}
[21/Dec/2025 11:32:25] {'temperature': 28.1, 'altitude': 0.14, 'voltage': 0, 'latitude': 38.83585, 'longitude': -77.40508, 'acceleration': {'z': 1.093, 'y': 0.019, 'x': 0.05}}
[21/Dec/2025 11:32:28] {'temperature': 28.18, 'altitude': 0.1, 'voltage': 0, 'latitude': 38.83585, 'longitude': -77.40508, 'acceleration': {'z': 1.095, 'y': 0.019, 'x': 0.046}}
[21/Dec/2025 11:32:30] {'temperature': 28.25, 'altitude': 1.53, 'voltage': 0, 'latitude': 38.83585, 'longitude': -77.40508, 'acceleration': {'z': 1.099, 'y': 0.018, 'x': 0.047}}
[21/Dec/2025 11:32:32] {'temperature': 28.34, 'altitude': 1.67, 'voltage': 0, 'latitude': 38.83586, 'longitude': -77.40508, 'acceleration': {'z': 1.087, 'y': 0.021, 'x': 0.035}}
[21/Dec/2025 11:32:34] {'temperature': 28.42, 'altitude': 1.75, 'voltage': 0, 'latitude': 38.83586, 'longitude': -77.40508, 'acceleration': {'z': 1.089, 'y': 0.014, 'x': 0.043}}
[21/Dec/2025 11:32:37] {'temperature': 28.51, 'altitude': 1.28, 'voltage': 0, 'latitude': 38.83586, 'longitude': -77.40508, 'acceleration': {'z': 1.086, 'y': 0.017, 'x': 0.046}}
[21/Dec/2025 11:32:39] {'temperature': 28.6, 'altitude': 1.72, 'voltage': 0, 'latitude': 38.83587, 'longitude': -77.40508, 'acceleration': {'z': 1.092, 'y': 0.022, 'x': 0.043}}
[21/Dec/2025 11:32:41] {'temperature': 28.65, 'altitude': 2.58, 'voltage': 0, 'latitude': 38.83587, 'longitude': -77.40509, 'acceleration': {'z': 1.086, 'y': 0.022, 'x': 0.048}}
[21/Dec/2025 11:32:43] {'temperature': 28.72, 'altitude': 2.12, 'voltage': 0, 'latitude': 38.83586, 'longitude': -77.40509, 'acceleration': {'z': 1.097, 'y': 0.01, 'x': 0.049}}
[21/Dec/2025 11:32:46] {'temperature': 28.78, 'altitude': 1.84, 'voltage': 0, 'latitude': 38.83587, 'longitude': -77.40509, 'acceleration': {'z': 1.103, 'y': 0.016, 'x': 0.042}}
[21/Dec/2025 11:32:48] {'temperature': 28.84, 'altitude': 1.65, 'voltage': 0, 'latitude': 38.83587, 'longitude': -77.40509, 'acceleration': {'z': 1.084, 'y': 0.02, 'x': 0.042}}
[21/Dec/2025 11:32:50] {'temperature': 28.9, 'altitude': 2.09, 'voltage': 0, 'latitude': 38.83587, 'longitude': -77.40509, 'acceleration': {'z': 1.078, 'y': 0.012, 'x': 0.038}}
[21/Dec/2025 11:32:52] {'temperature': 28.95, 'altitude': 2, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.4051, 'acceleration': {'z': 1.087, 'y': 0.018, 'x': 0.044}}
[21/Dec/2025 11:32:55] {'temperature': 29.01, 'altitude': 1.86, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.4051, 'acceleration': {'z': 1.092, 'y': 0.02, 'x': 0.041}}
[21/Dec/2025 11:33:01] {'temperature': 29.19, 'altitude': 1.27, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40511, 'acceleration': {'z': 1.094, 'y': 0.021, 'x': 0.048}}
[21/Dec/2025 11:33:04] {'temperature': 29.25, 'altitude': 1.72, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40511, 'acceleration': {'z': 1.084, 'y': 0.02, 'x': 0.048}}
[21/Dec/2025 11:33:06] {'temperature': 29.31, 'altitude': 2.35, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40511, 'acceleration': {'z': 1.086, 'y': 0.024, 'x': 0.045}}
[21/Dec/2025 11:33:08] {'temperature': 29.37, 'altitude': 2.71, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.4051, 'acceleration': {'z': 1.089, 'y': 0.01, 'x': 0.05}}
[21/Dec/2025 11:33:10] {'temperature': 29.45, 'altitude': 2.83, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.4051, 'acceleration': {'z': 1.09, 'y': 0.023, 'x': 0.047}}
[21/Dec/2025 11:33:13] {'temperature': 29.51, 'altitude': 3.26, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.4051, 'acceleration': {'z': 1.097, 'y': 0.006, 'x': 0.04}}
[21/Dec/2025 11:33:14] {'temperature': 29.54, 'altitude': 2.93, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40511, 'acceleration': {'z': 1.097, 'y': 0, 'x': 0.046}}
[21/Dec/2025 11:33:18] {'temperature': 29.59, 'altitude': 2.67, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.4051, 'acceleration': {'z': 1.088, 'y': 0.012, 'x': 0.045}}
[21/Dec/2025 11:33:21] {'temperature': 29.63, 'altitude': 2.05, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.4051, 'acceleration': {'z': 1.081, 'y': 0.021, 'x': 0.042}}
[21/Dec/2025 11:33:25] {'temperature': 29.66, 'altitude': 3.19, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.4051, 'acceleration': {'z': 1.095, 'y': 0.012, 'x': 0.044}}
[21/Dec/2025 11:33:28] {'temperature': 29.68, 'altitude': 2.57, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40509, 'acceleration': {'z': 1.087, 'y': 0.039, 'x': 0.067}}
[21/Dec/2025 11:33:30] {'temperature': 29.71, 'altitude': 2.57, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40509, 'acceleration': {'z': 1.088, 'y': 0.037, 'x': 0.065}}
[21/Dec/2025 11:33:32] {'temperature': 29.74, 'altitude': 2.24, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40509, 'acceleration': {'z': 1.085, 'y': 0.04, 'x': 0.05900001}}
[21/Dec/2025 11:33:34] {'temperature': 29.79, 'altitude': 1.78, 'voltage': 0, 'latitude': 38.83588, 'longitude': -77.40508, 'acceleration': {'z': 1.101, 'y': 0.027, 'x': 0.05900001}}
[21/Dec/2025 11:33:37] {'temperature': 29.84, 'altitude': 2.42, 'voltage': 0, 'latitude': 38.83589, 'longitude': -77.40508, 'acceleration': {'z': 1.096, 'y': 0.029, 'x': 0.056}}
