[11/Mar/2025 20:04:57] {'latitude': 38.8808, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:57] {'latitude': 38.8808, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:58] {'latitude': 38.8808, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:59] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:05:00] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:05:00] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:05:01] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:05:02] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:42] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:42] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:07:43] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
